scenario,endpoint,http_method,sql_or_query_path,heaviness,notes
Share of Search - Search Insights,/api/digital-shelf/share-of-search/keyword-options,POST,"SELECT DISTINCT SEARCH_KEYWORD FROM <SNOWFLAKE_DB>.PUBLIC.DIGITAL_SHELF_PRODUCTS <keyword/date/category filters> AND SEARCH_KEYWORD IS NOT NULL AND TRIM(SEARCH_KEYWORD) <> '' ORDER BY SEARCH_KEYWORD",medium,Distinct keyword scan with filtered where clause
Share of Search - Search Insights,/api/digital-shelf/share-of-search/search-insights/metrics,POST,"WITH filtered_data AS (SELECT BRAND_NAME, SEARCH_KEYWORD, IS_OFFICIAL_SHOP, SHOP_ID, SHOP_NAME, SOURCE_PRODUCT_ID, IS_AD, OVERALL_RANKING, ORGANIC_RANKING, ADS_RANKING FROM <SNOWFLAKE_DB>.PUBLIC.DIGITAL_SHELF_PRODUCTS <filters>) SELECT brand-level share-of-search overall/organic/paid counts and average rankings from grouped CTEs",medium,Service computes metrics from repository aggregation
Share of Search - Search Insights,/api/digital-shelf/share-of-search/search-insights/ranking,POST,"WITH filtered_data AS (SELECT BRAND_NAME, SEARCH_KEYWORD, IS_OFFICIAL_SHOP, SHOP_NAME, SOURCE_PRODUCT_ID, IS_AD, OVERALL_RANKING, ORGANIC_RANKING, ADS_RANKING FROM <SNOWFLAKE_DB>.PUBLIC.DIGITAL_SHELF_PRODUCTS <filters> <brandsFilter>), rankings_by_shop_type AS (GROUP BY BRAND_NAME, IS_OFFICIAL_SHOP), total_counts AS (...) SELECT brand/shop-type average rankings and share-of-search overall/paid/organic",heavy,CTE-based ranking query over filtered search dataset
Share of Search - Keyword Insights,/api/digital-shelf/share-of-search/keyword-options,POST,"SELECT DISTINCT SEARCH_KEYWORD FROM <SNOWFLAKE_DB>.PUBLIC.DIGITAL_SHELF_PRODUCTS <keyword/date/category filters> AND SEARCH_KEYWORD IS NOT NULL AND TRIM(SEARCH_KEYWORD) <> '' ORDER BY SEARCH_KEYWORD",medium,Distinct keyword scan
Share of Search - Keyword Insights,/api/digital-shelf/share-of-search/keyword-insights/scatter-plot,POST,"WITH filtered_data AS (SELECT SEARCH_KEYWORD, KEYWORD_PRIORITY, OVERALL_RANKING, COALESCE(IS_AD,FALSE) AS IS_AD, IFF(COALESCE(BRAND_NAME IN (<brands>),FALSE) AND COALESCE(IS_OFFICIAL_SHOP,FALSE), TRUE, FALSE) AS IS_ME_BRAND_OFFICIAL FROM <SNOWFLAKE_DB>.PUBLIC.DIGITAL_SHELF_PRODUCTS <filters> AND OVERALL_RANKING BETWEEN 1 AND 12), keyword_metrics AS (GROUP BY SEARCH_KEYWORD) SELECT me-brand vs competitor paid %, avg ranking, share of search",heavy,Aggregated keyword metrics across date range
Share of Search - Keyword Insights,/api/digital-shelf/share-of-search/keyword-insights/keyword-distribution,POST,"WITH filtered_data AS (SELECT SEARCH_KEYWORD, COALESCE(IS_AD,FALSE) AS IS_AD, COALESCE(BRAND_NAME IN (<brands>),FALSE) AS IS_ME_BRAND, COALESCE(IS_OFFICIAL_SHOP,FALSE) AS IS_OFFICIAL_SHOP FROM <SNOWFLAKE_DB>.PUBLIC.DIGITAL_SHELF_PRODUCTS <filters> AND OVERALL_RANKING BETWEEN 1 AND 12), keyword_metrics AS (GROUP BY SEARCH_KEYWORD) SELECT official/reseller/competitor distribution overall and paid-vs-organic",heavy,Distribution query over keyword positions
Share of Search - Keyword Insights,/api/digital-shelf/share-of-search/keyword-insights/position-table,POST,"SELECT PLATFORM, SEARCH_KEYWORD, OVERALL_RANKING, ADS_RANKING, ORGANIC_RANKING, COALESCE(IS_AD,FALSE) AS IS_AD, SHOP_NAME, BRAND_NAME FROM <SNOWFLAKE_DB>.PUBLIC.DIGITAL_SHELF_PRODUCTS WHERE DATE(RECORDED_ON)=? AND REGION=? AND <channel/category/brand/keyword filters> AND OVERALL_RANKING BETWEEN 1 AND 12 ORDER BY PLATFORM, SEARCH_KEYWORD, OVERALL_RANKING, BRAND_NAME, SHOP_NAME",medium,"Single-date position lookup, lighter than range aggregations"
Product Health - Online Availability,/api/digital-shelf/shops-by-brands,POST,"SELECT BRAND_NAME, ARRAY_AGG(DISTINCT SHOP_NAME) AS shops FROM <SNOWFLAKE_DB> <date/country/category/brand/channel/shop filters> GROUP BY BRAND_NAME ORDER BY BRAND_NAME",medium,Grouped ARRAY_AGG by brand
Product Health - Online Availability,/api/digital-shelf/competitor-brands,POST,"SELECT DISTINCT BRAND_NAME FROM <SNOWFLAKE_DB> <date/country/category/channel filters> AND BRAND_NAME NOT IN (<excludedBrands>) AND BRAND_NAME IS NOT NULL AND TRIM(BRAND_NAME) <> '' ORDER BY BRAND_NAME",light,Distinct brand lookup
Product Health - Online Availability,/api/digital-shelf/product-health/online-availability/metrics,POST,"WITH base AS (SELECT BRAND_NAME, SOURCE_PRODUCT_ID, TO_DATE(RECORDED_ON) AS recorded_date, STOCK FROM <SNOWFLAKE_DB> <filters>), daily_status AS (GROUP BY BRAND_NAME, SOURCE_PRODUCT_ID, recorded_date), product_metrics AS (GROUP BY BRAND_NAME, SOURCE_PRODUCT_ID) SELECT BRAND_NAME, COUNT(*) AS totalNumberOfProducts, AVG(in_stock_pct) AS inStockCount, AVG(out_of_stock_pct) AS outOfStockCount GROUP BY BRAND_NAME",heavy,Metric aggregation over filtered product health data
